Date,NIFTY_200
2024-07-26,18477.91
2024-07-25,18163.94
2024-07-24,18159.58
2024-07-23,18147.32
2024-07-22,18205.22
2024-07-19,18144.61
2024-07-18,18404.51
2024-07-16,18369.63
2024-07-15,18378.5
2024-07-12,18282.02
2024-07-11,18193.19
2024-07-10,18176.64
2024-07-09,18238.31
2024-07-08,18154.61
2024-07-05,18163.62
2024-07-04,18107.18
2024-07-03,18068.67
2024-07-02,17934.12
2024-07-01,17978.01
2024-06-28,17860.19
2024-06-27,17853.59
2024-06-26,17748.3
2024-06-25,17688.99
2024-06-24,17617.56
2024-06-21,17570.28
2024-06-20,17626.99
2024-06-19,17566.57
2024-06-18,17643.75
2024-06-14,17562.12
2024-06-13,17454.82
2024-06-12,17372.55
2024-06-11,17297.03
2024-06-10,17272.08
2024-06-07,17266.88
2024-06-06,16951.42
2024-06-05,16739.13
2024-06-04,16144.68
2024-06-03,17313.42
2024-05-31,16734.21
2024-05-30,16677.27
2024-05-29,16845.44
2024-05-28,16965.68
2024-05-27,17040.86
2024-05-24,17035.94
2024-05-23,17036.42
2024-05-22,16814.78
2024-05-21,16764.76
2024-05-18,16717.94
2024-05-17,16666.02
2024-05-16,16582.75
2024-05-15,16431.31
2024-05-14,16397.35
2024-05-13,16275.13
2024-05-10,16236.54
2024-05-09,16127.34
2024-05-08,16399.21
2024-05-07,16343.61
2024-05-06,16507.53
2024-05-03,16572.23
2024-05-02,16676.09
2024-04-30,16600.88
2024-04-29,16603.55
2024-04-26,16466.16
2024-04-25,16504.68
2024-04-24,16395.73
2024-04-23,16345.7
2024-04-22,16297.29
2024-04-19,16145.95
2024-04-18,16089.43
2024-04-16,16179.49
2024-04-15,16239.67
2024-04-12,16451.73
2024-04-10,16599.11
2024-04-09,16499.28
2024-04-08,16525.48
2024-04-05,16440.83
2024-04-04,16406.06
2024-04-03,16364.08
2024-04-02,16352.25
2024-04-01,16304.76
2024-03-28,16150.91
2024-03-27,16005.13
2024-03-26,15945.71
2024-03-22,15939.33
2024-03-21,15867.5
2024-03-20,15671.91
2024-03-19,15652.54
2024-03-18,15840.95
2024-03-15,15822.48
2024-03-14,15910.37
2024-03-13,15728.25
2024-03-12,16101.31
2024-03-11,16169.53
2024-03-07,16263.21
2024-03-06,16229.14
2024-03-05,16189.91
2024-03-04,16223.16
2024-03-02,16200.86
2024-03-01,16150.08
2024-02-29,15926.49
2024-02-28,15872.78
2024-02-27,16079.86
2024-02-26,16050.56
2024-02-23,16099.39
2024-02-22,16085.94
2024-02-21,15953.74
2024-02-20,16067.6
2024-02-19,16028.01
2024-02-16,15972.66
2024-02-15,15873.68
2024-02-14,15790.75
2024-02-13,15686.54
2024-02-12,15595.12
2024-02-09,15780.17
2024-02-08,15774.73
2024-02-07,15865.31
2024-02-06,15807.68
2024-02-05,15665.76
2024-02-02,15719.82
2024-02-01,15615.67
2024-01-31,15636.73
2024-01-30,15474.22
2024-01-29,15599.87
2024-01-25,15336.78
2024-01-24,15395.2
2024-01-23,15208.47
2024-01-20,15508.22
2024-01-19,15516.52
2024-01-18,15364.26
2024-01-17,15432.23
2024-01-16,15717.43
2024-01-15,15764.43
2024-01-12,15640.82
2024-01-11,15502.65
2024-01-10,15457.21
2024-01-09,15408.08
2024-01-08,15377.75
2024-01-05,15524.98
2024-01-04,15496.61
2024-01-03,15359.18
