Date,NIFTY_LARGEMIDCAP_250
2024-07-26,20843.41
2024-07-25,20491.74
2024-07-24,20509.47
2024-07-23,20431.68
2024-07-22,20503.73
2024-07-19,20377.29
2024-07-18,20724.01
2024-07-16,20778.39
2024-07-15,20780.0
2024-07-12,20659.95
2024-07-11,20605.73
2024-07-10,20580.42
2024-07-09,20655.77
2024-07-08,20576.61
2024-07-05,20606.23
2024-07-04,20516.6
2024-07-03,20432.92
2024-07-02,20278.57
2024-07-01,20351.0
2024-06-28,20194.59
2024-06-27,20148.37
2024-06-26,20065.02
2024-06-25,20050.09
2024-06-24,20021.35
2024-06-21,19971.07
2024-06-20,20021.39
2024-06-19,19911.14
2024-06-18,20053.31
2024-06-14,19950.75
2024-06-13,19789.01
2024-06-12,19669.61
2024-06-11,19536.84
2024-06-10,19452.6
2024-06-07,19413.94
2024-06-06,19096.09
2024-06-05,18786.18
2024-06-04,18112.54
2024-06-03,19440.99
2024-05-31,18828.57
2024-05-30,18742.72
2024-05-29,18941.4
2024-05-28,19040.52
2024-05-27,19149.73
2024-05-24,19120.97
2024-05-23,19126.2
2024-05-22,18944.46
2024-05-21,18887.12
2024-05-18,18832.91
2024-05-17,18756.0
2024-05-16,18616.2
2024-05-15,18440.62
2024-05-14,18346.06
2024-05-13,18195.98
2024-05-10,18130.68
2024-05-09,17984.51
2024-05-08,18292.38
2024-05-07,18219.56
2024-05-06,18468.87
2024-05-03,18545.16
2024-05-02,18640.26
2024-04-30,18558.4
2024-04-29,18538.13
2024-04-26,18423.81
2024-04-25,18391.65
2024-04-24,18291.32
2024-04-23,18195.75
2024-04-22,18089.13
2024-04-19,17942.55
2024-04-18,17938.33
2024-04-16,18021.28
2024-04-15,18070.09
2024-04-12,18307.79
2024-04-10,18438.37
2024-04-09,18309.41
2024-04-08,18344.47
2024-04-05,18271.28
2024-04-04,18214.05
2024-04-03,18183.46
2024-04-02,18137.87
2024-04-01,18024.27
2024-03-28,17792.02
