Date,NIFTY_MICROCAP_250
2024-07-26,30293.44
2024-07-25,29964.47
2024-07-24,29902.92
2024-07-23,29121.74
2024-07-22,29063.38
2024-07-19,28802.13
2024-07-18,29461.41
2024-07-16,29768.33
2024-07-15,29697.77
2024-07-12,29687.55
2024-07-11,29810.55
2024-07-10,29511.61
2024-07-09,29786.21
2024-07-08,29706.81
2024-07-05,29815.1
2024-07-04,29559.55
2024-07-03,29482.1
2024-07-02,29256.42
2024-07-01,29201.33
2024-06-28,28530.96
2024-06-27,28364.81
2024-06-26,28673.44
2024-06-25,28518.91
2024-06-24,28516.63
2024-06-21,28437.97
2024-06-20,28444.47
2024-06-19,28045.64
2024-06-18,28151.24
2024-06-14,27891.3
2024-06-13,27662.69
2024-06-12,27477.5
2024-06-11,27124.22
2024-06-10,26689.59
2024-06-07,26320.56
2024-06-06,25714.86
2024-06-05,24927.82
2024-06-04,24163.4
2024-06-03,26054.75
2024-05-31,25569.14
2024-05-30,25302.12
2024-05-29,25715.6
2024-05-28,25647.99
2024-05-27,25914.99
2024-05-24,26143.12
2024-05-23,26255.23
2024-05-22,26285.35
2024-05-21,26240.85
2024-05-18,26285.24
2024-05-17,26106.95
2024-05-16,25813.03
2024-05-15,25657.6
2024-05-14,25365.9
2024-05-13,24841.77
2024-05-10,24909.14
2024-05-09,24646.88
2024-05-08,25311.18
2024-05-07,25116.87
2024-05-06,25501.99
2024-05-03,25857.36
2024-05-02,26022.48
2024-04-30,25954.01
2024-04-29,25928.39
2024-04-26,25783.84
2024-04-25,25841.82
2024-04-24,25708.55
2024-04-23,25535.27
2024-04-22,25298.22
2024-04-19,24801.06
2024-04-18,24831.91
2024-04-16,24823.87
2024-04-15,24557.88
2024-04-12,24986.63
2024-04-10,25212.23
2024-04-09,25200.14
2024-04-08,25218.06
2024-04-05,25317.03
2024-04-04,25204.07
2024-04-03,25071.53
2024-04-02,24684.74
2024-04-01,24267.68
2024-03-28,23468.68
2024-03-27,23427.01
2024-03-26,23276.73
2024-03-22,23455.89
2024-03-21,23139.21
2024-03-20,22613.8
2024-03-19,22657.15
2024-03-18,22957.17
2024-03-15,22902.24
2024-03-14,22693.42
2024-03-13,21811.63
2024-03-12,23246.14
2024-03-11,23853.33
2024-03-07,24447.4
2024-03-06,24355.41
2024-03-05,24988.81
2024-03-04,25154.85
2024-03-02,25383.59
2024-03-01,25167.62
2024-02-29,25024.52
2024-02-28,24721.14
2024-02-27,25303.14
2024-02-26,25451.27
2024-02-23,25440.53
2024-02-22,25286.23
2024-02-21,25179.16
2024-02-20,25520.8
2024-02-19,25529.42
2024-02-16,25245.49
2024-02-15,25065.98
2024-02-14,24776.17
2024-02-13,24368.96
2024-02-12,24315.44
2024-02-09,25296.85
2024-02-08,25703.92
2024-02-07,25740.89
2024-02-06,25609.17
2024-02-05,25258.77
2024-02-02,25352.69
2024-02-01,25264.61
2024-01-31,25361.79
2024-01-30,24911.21
2024-01-29,24851.43
2024-01-25,24568.36
2024-01-24,24257.94
2024-01-23,23830.77
2024-01-20,24570.98
2024-01-19,24369.6
2024-01-18,24135.92
2024-01-17,24052.81
2024-01-16,24299.85
2024-01-15,24402.39
2024-01-12,24372.69
2024-01-11,24336.33
2024-01-10,24101.92
2024-01-09,23987.36
2024-01-08,23935.13
2024-01-05,23999.19
2024-01-04,23902.53
2024-01-03,23591.44
2024-01-02,23435.35
2024-01-01,23362.6
2023-12-29,23079.73
2023-12-28,22907.35
2023-12-27,22991.78
2023-12-26,22978.26
2023-12-22,22798.93
2023-12-21,22613.5
2023-12-20,22142.13
2023-12-19,23113.36
2023-12-18,23027.03
2023-12-15,22913.56
2023-12-14,22861.61
2023-12-13,22793.56
2023-12-12,22475.29
2023-12-11,22557.45
2023-12-08,22315.8
2023-12-07,22364.76
2023-12-06,22378.64
2023-12-05,22374.11
2023-12-04,22390.2
2023-12-01,22127.17
2023-11-30,22129.08
2023-11-29,21876.37
2023-11-28,21852.49
2023-11-24,21811.7
2023-11-23,21775.79
2023-11-22,21723.86
2023-11-21,21820.81
2023-11-20,21780.77
2023-11-17,21641.1
2023-11-16,21539.1
2023-11-15,21484.55
2023-11-13,21210.08
2023-11-12,21116.07
2023-11-10,20848.14
2023-11-09,20738.66
2023-11-08,20763.41
2023-11-07,20705.29
2023-11-06,20588.43
2023-11-03,20339.01
2023-11-02,20139.02
2023-11-01,19978.74
2023-10-31,19992.62
2023-10-30,19950.47
2023-10-27,19885.87
2023-10-26,19421.38
2023-10-25,19393.17
2023-10-23,19585.18
2023-10-20,20639.13
2023-10-19,20787.49
2023-10-18,20762.6
2023-10-17,20779.5
2023-10-16,20563.07
2023-10-13,20439.74
2023-10-12,20416.83
2023-10-11,20240.4
2023-10-10,20029.49
2023-10-09,19760.74
2023-10-06,20207.11
2023-10-05,20061.16
2023-10-04,19871.89
2023-10-03,20074.56
2023-09-29,20023.53
2023-09-28,19881.77
2023-09-27,19938.06
2023-09-26,19795.87
2023-09-25,19729.78
2023-09-22,19648.08
2023-09-21,19601.52
2023-09-20,19784.36
2023-09-18,19875.6
2023-09-15,19967.26
2023-09-14,19844.61
2023-09-13,19613.25
2023-09-12,19355.54
