Date,NIFTY_MIDCAP150_MOMENTUM_50
2024-07-26,78348.52
2024-07-25,77103.66
2024-07-24,77254.32
2024-07-23,76696.47
2024-07-22,77388.89
2024-07-19,76755.79
2024-07-18,78639.07
2024-07-16,80135.67
2024-07-15,80288.17
2024-07-12,79614.01
2024-07-11,79894.05
2024-07-10,79248.67
2024-07-09,79408.45
2024-07-08,79252.9
2024-07-05,79210.54
2024-07-04,78479.56
2024-07-03,77612.91
2024-07-02,76678.52
2024-07-01,77003.32
2024-06-28,76542.81
2024-06-27,76216.93
2024-06-26,76466.54
2024-06-25,77064.82
2024-06-24,77299.04
2024-06-21,77392.45
2024-06-20,77505.6
2024-06-19,76889.02
2024-06-18,77915.44
2024-06-14,77524.8
2024-06-13,76590.58
2024-06-12,76036.66
2024-06-11,75456.21
2024-06-10,74835.48
2024-06-07,74342.06
2024-06-06,73342.56
2024-06-05,71300.19
2024-06-04,69014.29
2024-06-03,76004.09
2024-05-31,73037.12
2024-05-30,72485.4
2024-05-29,73375.52
2024-05-28,73828.01
2024-05-27,74520.66
2024-05-24,74197.23
2024-05-23,73986.18
2024-05-22,73574.38
2024-05-21,73862.3
2024-05-18,73353.35
2024-05-17,72796.66
2024-05-16,71593.86
2024-05-15,70762.45
2024-05-14,69978.55
2024-05-13,69275.13
2024-05-10,68611.38
2024-05-09,68139.33
2024-05-08,69601.84
2024-05-07,68598.46
2024-05-06,70476.5
2024-05-03,71075.33
2024-05-02,70794.62
2024-04-30,69828.42
2024-04-29,69076.93
2024-04-26,68422.66
2024-04-25,67909.08
2024-04-24,67321.11
2024-04-23,66513.18
2024-04-22,66031.47
2024-04-19,65594.97
2024-04-18,65866.09
2024-04-16,66057.73
2024-04-15,65930.82
2024-04-12,66678.65
2024-04-10,67258.3
2024-04-09,66916.41
2024-04-08,67140.52
2024-04-05,67028.25
2024-04-04,66677.53
2024-04-03,66757.83
2024-04-02,66480.55
2024-04-01,66030.98
2024-03-28,64846.47
2024-03-27,64602.39
2024-03-26,64596.4
2024-03-22,63594.8
2024-03-21,63084.2
2024-03-20,61544.23
2024-03-19,61484.25
2024-03-18,62154.03
2024-03-15,62218.24
2024-03-14,62652.75
2024-03-13,61149.07
2024-03-12,64124.75
2024-03-11,65043.53
2024-03-07,65019.66
2024-03-06,64880.77
