Date,NIFTY_MIDSMALLCAP400_MOMENTUM_QUALITY_100
2024-07-26,68841.17
2024-07-25,67886.36
2024-07-24,68090.66
2024-07-23,67438.23
2024-07-22,68220.04
2024-07-19,67459.33
2024-07-18,69128.57
2024-07-16,70558.61
2024-07-15,70830.13
2024-07-12,70328.32
2024-07-11,70231.04
2024-07-10,69652.97
2024-07-09,69967.87
2024-07-08,70004.09
2024-07-05,70123.65
2024-07-04,69266.85
2024-07-03,68386.06
2024-07-02,67451.4
2024-07-01,67469.2
2024-06-28,66619.37
2024-06-27,66195.17
2024-06-26,66229.34
2024-06-25,66634.56
2024-06-24,66689.95
2024-06-21,66430.17
2024-06-20,66506.28
2024-06-19,66413.42
2024-06-18,67046.32
2024-06-14,66637.29
2024-06-13,66004.8
2024-06-12,65280.8
2024-06-11,64671.8
2024-06-10,64042.94
2024-06-07,63613.21
2024-06-06,62396.61
2024-06-05,60412.11
2024-06-04,58526.29
2024-06-03,64507.11
2024-05-31,62021.68
2024-05-30,62180.0
2024-05-29,63101.94
2024-05-28,63311.64
2024-05-27,63758.0
2024-05-24,63287.25
2024-05-23,62958.25
2024-05-22,62482.95
2024-05-21,62712.01
2024-05-18,62627.38
2024-05-17,62321.63
2024-05-16,61362.62
2024-05-15,60517.18
2024-05-14,59835.05
2024-05-13,59030.66
2024-05-10,58849.32
2024-05-09,58388.96
2024-05-08,59743.87
2024-05-07,59134.0
2024-05-06,60079.03
2024-05-03,60666.16
2024-05-02,60659.19
2024-04-30,60024.65
2024-04-29,59483.63
2024-04-26,59011.79
2024-04-25,58420.06
2024-04-24,57907.17
2024-04-23,57417.28
2024-04-22,56976.07
2024-04-19,56641.33
2024-04-18,56874.32
2024-04-16,57075.01
2024-04-15,56932.27
2024-04-12,57766.75
2024-04-10,58125.45
2024-04-09,57845.63
2024-04-08,57942.25
2024-04-05,58165.48
2024-04-04,57894.72
2024-04-03,57914.79
2024-04-02,57407.35
2024-04-01,56805.59
2024-03-28,55841.32
2024-03-27,55771.57
2024-03-26,55730.7
2024-03-22,54994.98
2024-03-21,54733.99
2024-03-20,53221.36
2024-03-19,53193.76
2024-03-18,53789.91
2024-03-15,54125.38
2024-03-14,54138.08
2024-03-13,52746.51
2024-03-12,55217.57
2024-03-11,55938.75
2024-03-07,56159.7
2024-03-06,56067.0
2024-03-05,56374.3
2024-03-04,56606.69
2024-03-02,56555.89
2024-03-01,56213.64
