Date,NIFTY_NON_CYCLICAL_CONSUMER
2024-07-26,20394.36
2024-07-25,20086.24
2024-07-24,20142.47
2024-07-23,20105.19
2024-07-22,19868.37
2024-07-19,19800.88
2024-07-18,20002.13
2024-07-16,19991.33
2024-07-15,19921.1
2024-07-12,19822.83
2024-07-11,19747.12
2024-07-10,19674.42
2024-07-09,19613.07
2024-07-08,19476.41
2024-07-05,19399.87
2024-07-04,19279.4
2024-07-03,19291.93
2024-07-02,19215.51
2024-07-01,19322.79
2024-06-28,19188.92
2024-06-27,19190.85
2024-06-26,19138.04
2024-06-25,19077.89
2024-06-24,19129.5
2024-06-21,18961.03
2024-06-20,19040.15
2024-06-19,19036.93
2024-06-18,19228.07
2024-06-14,19101.44
2024-06-13,18943.81
2024-06-12,18936.64
2024-06-11,18978.41
2024-06-10,19025.7
2024-06-07,18973.98
2024-06-06,18705.51
2024-06-05,18708.25
2024-06-04,17862.32
2024-06-03,18068.35
2024-05-31,17890.1
2024-05-30,17988.4
2024-05-29,18163.52
2024-05-28,18251.03
2024-05-27,18312.9
2024-05-24,18348.3
2024-05-23,18460.02
2024-05-22,18348.41
2024-05-21,18196.42
2024-05-18,18204.79
2024-05-17,18158.31
2024-05-16,18038.49
2024-05-15,17844.72
2024-05-14,17869.74
2024-05-13,17905.87
2024-05-10,17909.44
2024-05-09,17695.8
2024-05-08,18021.93
2024-05-07,17940.36
2024-05-06,17827.99
2024-05-03,17876.99
2024-05-02,18010.07
2024-04-30,17886.14
2024-04-29,17869.18
2024-04-26,17793.22
2024-04-25,17765.94
2024-04-24,17756.54
2024-04-23,17747.86
2024-04-22,17596.58
2024-04-19,17392.04
2024-04-18,17291.57
2024-04-16,17353.54
2024-04-15,17360.82
2024-04-12,17560.71
2024-04-10,17730.37
2024-04-09,17514.58
2024-04-08,17600.77
2024-04-05,17489.46
2024-04-04,17492.43
2024-04-03,17425.27
2024-04-02,17470.64
2024-04-01,17399.26
2024-03-28,17383.57
2024-03-27,17233.92
2024-03-26,17194.97
2024-03-22,17154.2
2024-03-21,17020.42
2024-03-20,16861.13
2024-03-19,16791.39
2024-03-18,17034.65
2024-03-15,17084.6
2024-03-14,17035.03
2024-03-13,16763.55
2024-03-12,17083.93
2024-03-11,17144.42
2024-03-07,17209.93
2024-03-06,17074.07
2024-03-05,17012.04
2024-03-04,17092.89
2024-03-02,17128.77
2024-03-01,17058.96
2024-02-29,16954.61
2024-02-28,16853.18
2024-02-27,17024.18
2024-02-26,16964.5
2024-02-23,17082.88
2024-02-22,17071.46
2024-02-21,16942.48
2024-02-20,17015.09
2024-02-19,16966.21
2024-02-16,16821.78
2024-02-15,16732.93
2024-02-14,16750.5
2024-02-13,16661.44
2024-02-12,16611.89
2024-02-09,16706.17
2024-02-08,16668.68
2024-02-07,16711.36
2024-02-06,16531.04
2024-02-05,16482.2
2024-02-02,16681.31
2024-02-01,16643.05
2024-01-31,16680.32
2024-01-30,16526.33
2024-01-29,16706.88
2024-01-25,16606.34
2024-01-24,16786.2
2024-01-23,16533.93
2024-01-20,16837.75
2024-01-19,16983.74
2024-01-18,16744.28
2024-01-17,16867.97
2024-01-16,17033.54
2024-01-15,17051.78
2024-01-12,16998.02
2024-01-11,16907.55
2024-01-10,16891.84
2024-01-09,16860.92
2024-01-08,16836.32
2024-01-05,17044.41
2024-01-04,17057.14
2024-01-03,16907.15
2024-01-02,16903.1
2024-01-01,16882.94
2023-12-29,16889.66
2023-12-28,16796.27
2023-12-27,16668.51
2023-12-26,16544.43
2023-12-22,16448.88
2023-12-21,16318.38
2023-12-20,16197.27
2023-12-19,16428.02
2023-12-18,16299.82
2023-12-15,16239.02
2023-12-14,16258.54
2023-12-13,16168.21
2023-12-12,16068.63
2023-12-11,16135.15
2023-12-08,16053.15
2023-12-07,16128.75
2023-12-06,16160.73
2023-12-05,16049.39
2023-12-04,16010.84
2023-12-01,15917.98
2023-11-30,15769.9
2023-11-29,15610.27
2023-11-28,15547.29
2023-11-24,15497.12
2023-11-23,15547.33
2023-11-22,15540.69
2023-11-21,15509.64
2023-11-20,15477.62
2023-11-17,15485.85
2023-11-16,15360.73
2023-11-15,15315.33
2023-11-13,15207.85
2023-11-12,15260.09
2023-11-10,15196.35
2023-11-09,15203.98
2023-11-08,15292.78
2023-11-07,15164.89
2023-11-06,15119.36
2023-11-03,15007.26
2023-11-02,14853.8
2023-11-01,14685.41
2023-10-31,14739.92
2023-10-30,14708.06
2023-10-27,14700.52
2023-10-26,14565.9
2023-10-25,14760.97
2023-10-23,14835.81
2023-10-20,15033.9
2023-10-19,15165.46
2023-10-18,15172.51
2023-10-17,15261.24
2023-10-16,15207.83
2023-10-13,15250.92
2023-10-12,15213.72
2023-10-11,15203.95
2023-10-10,15085.12
2023-10-09,14992.06
2023-10-06,15077.36
2023-10-05,15020.15
2023-10-04,14934.36
2023-10-03,14957.47
2023-09-29,14948.26
2023-09-28,14888.22
2023-09-27,15119.01
2023-09-26,15072.6
2023-09-25,15034.0
2023-09-22,14979.42
2023-09-21,15015.07
2023-09-20,15043.83
2023-09-18,15147.84
2023-09-15,15130.47
2023-09-14,15117.14
2023-09-13,15118.57
2023-09-12,15028.71
2023-09-11,15158.42
2023-09-08,15051.56
2023-09-07,15009.69
2023-09-06,15020.37
2023-09-05,14878.72
2023-09-04,14787.2
