Date,NIFTY_SMALLCAP250_MOMENTUM_QUALITY_100
2024-07-26,69995.18
2024-07-25,69225.4
2024-07-24,69647.91
2024-07-23,68287.65
2024-07-22,69047.83
2024-07-19,68173.76
2024-07-18,70049.22
2024-07-16,71148.22
2024-07-15,71080.92
2024-07-12,70562.91
2024-07-11,70715.24
2024-07-10,70066.56
2024-07-09,70809.26
2024-07-08,70941.29
2024-07-05,70721.74
2024-07-04,70056.84
2024-07-03,69187.03
2024-07-02,68210.74
2024-07-01,68374.51
2024-06-28,67327.06
2024-06-27,66761.2
2024-06-26,66997.78
2024-06-25,67070.52
2024-06-24,66901.3
2024-06-21,67112.75
2024-06-20,67186.2
2024-06-19,66858.73
2024-06-18,67313.12
2024-06-14,66699.7
2024-06-13,66206.08
2024-06-12,65481.07
2024-06-11,64772.71
2024-06-10,64570.23
2024-06-07,63616.71
2024-06-06,62084.26
2024-06-05,60006.8
2024-06-04,58002.62
2024-06-03,62436.03
2024-05-31,61244.15
2024-05-30,61175.18
2024-05-29,62118.93
2024-05-28,62109.76
2024-05-27,62697.4
2024-05-24,62352.32
2024-05-23,62225.5
2024-05-22,61876.05
2024-05-21,62006.37
2024-05-18,62348.76
2024-05-17,61817.76
2024-05-16,61146.54
2024-05-15,60621.83
2024-05-14,60139.57
2024-05-13,58899.58
2024-05-10,59193.64
2024-05-09,58907.4
2024-05-08,60523.33
2024-05-07,60377.4
2024-05-06,61428.27
2024-05-03,62287.12
2024-05-02,62609.5
2024-04-30,62497.93
2024-04-29,62532.98
2024-04-26,62778.92
2024-04-25,62483.19
2024-04-24,61807.38
2024-04-23,61389.11
2024-04-22,60345.09
2024-04-19,59632.08
2024-04-18,59769.35
2024-04-16,59979.57
2024-04-15,59789.07
2024-04-12,60769.78
2024-04-10,60832.08
2024-04-09,60475.85
2024-04-08,60331.91
2024-04-05,60318.49
2024-04-04,59999.39
2024-04-03,59631.76
2024-04-02,58839.21
2024-04-01,58278.19
2024-03-28,56391.03
2024-03-27,56263.82
2024-03-26,55870.57
2024-03-22,55463.35
2024-03-21,55117.69
2024-03-20,53853.31
2024-03-19,53763.39
2024-03-18,54427.62
2024-03-15,54722.24
2024-03-14,54564.03
2024-03-13,52685.29
2024-03-12,55831.37
2024-03-11,56890.4
2024-03-07,57974.41
2024-03-06,57638.53
2024-03-05,58805.71
2024-03-04,59205.84
2024-03-02,59436.46
2024-03-01,58968.17
2024-02-29,58427.16
2024-02-28,58255.88
2024-02-27,59468.53
2024-02-26,59216.19
2024-02-23,59189.25
2024-02-22,58827.78
2024-02-21,58366.69
2024-02-20,59000.84
2024-02-19,59247.88
2024-02-16,58719.2
2024-02-15,58278.93
2024-02-14,57723.99
2024-02-13,57194.16
2024-02-12,56870.56
2024-02-09,59103.99
2024-02-08,59858.94
2024-02-07,60191.44
2024-02-06,60033.52
2024-02-05,59309.3
2024-02-02,59292.82
2024-02-01,58769.98
2024-01-31,58785.64
2024-01-30,57699.85
2024-01-29,57612.77
2024-01-25,56781.5
2024-01-24,56474.47
2024-01-23,55380.61
2024-01-20,57109.08
2024-01-19,56838.32
2024-01-18,56068.15
2024-01-17,56047.77
2024-01-16,56508.85
2024-01-15,56440.63
2024-01-12,56164.61
2024-01-11,55950.66
2024-01-10,55641.68
2024-01-09,55462.04
2024-01-08,55285.26
2024-01-05,55696.8
2024-01-04,55485.08
2024-01-03,54830.16
2024-01-02,54730.35
2024-01-01,54865.64
2023-12-29,54640.34
2023-12-28,54424.43
2023-12-27,54178.95
2023-12-26,54081.4
2023-12-22,53747.49
2023-12-21,53059.64
2023-12-20,52226.39
2023-12-19,53952.18
2023-12-18,53877.38
2023-12-15,53797.19
2023-12-14,53534.99
2023-12-13,53020.87
2023-12-12,52591.07
2023-12-11,52623.31
2023-12-08,52127.41
2023-12-07,52631.91
2023-12-06,52494.69
2023-12-05,52461.81
2023-12-04,52321.21
2023-12-01,51602.16
2023-11-30,51271.91
2023-11-29,50691.39
2023-11-28,50213.04
2023-11-24,50179.39
2023-11-23,50190.16
2023-11-22,49963.42
2023-11-21,50482.59
2023-11-20,50373.42
2023-11-17,50005.47
2023-11-16,49744.7
2023-11-15,49376.25
2023-11-13,48847.38
2023-11-12,48674.72
2023-11-10,48168.65
2023-11-09,48063.04
2023-11-08,47940.66
2023-11-07,47599.22
2023-11-06,47531.99
2023-11-03,47061.36
2023-11-02,46658.65
2023-11-01,46015.06
2023-10-31,46124.61
2023-10-30,46083.24
2023-10-27,45898.8
2023-10-26,45085.96
2023-10-25,45141.61
2023-10-23,45566.02
2023-10-20,47467.25
2023-10-19,48129.79
2023-10-18,48042.1
2023-10-17,48378.72
2023-10-16,48147.35
2023-10-13,48014.97
2023-10-12,48199.47
2023-10-11,47747.56
2023-10-10,47410.66
2023-10-09,46841.23
2023-10-06,47646.78
