Date,NIFTY_TOTAL_MARKET
2024-07-26,16990.39
2024-07-25,16719.53
2024-07-24,16721.07
2024-07-23,16665.19
2024-07-22,16716.83
2024-07-19,16648.79
2024-07-18,16910.58
2024-07-16,16912.62
2024-07-15,16913.8
2024-07-12,16833.17
2024-07-11,16771.08
2024-07-10,16745.53
2024-07-09,16813.99
2024-07-08,16743.84
2024-07-05,16757.59
2024-07-04,16698.36
2024-07-03,16652.22
2024-07-02,16525.77
2024-07-01,16559.64
2024-06-28,16427.8
2024-06-27,16406.83
2024-06-26,16342.0
2024-06-25,16292.38
2024-06-24,16234.69
2024-06-21,16195.92
2024-06-20,16242.56
2024-06-19,16175.29
2024-06-18,16250.5
2024-06-14,16163.47
2024-06-13,16056.93
2024-06-12,15973.44
2024-06-11,15889.6
2024-06-10,15847.79
2024-06-07,15809.37
2024-06-06,15516.58
2024-06-05,15282.66
2024-06-04,14754.36
2024-06-03,15820.7
2024-05-31,15323.82
2024-05-30,15263.57
2024-05-29,15424.64
2024-05-28,15515.14
2024-05-27,15594.58
2024-05-24,15592.69
2024-05-23,15598.61
2024-05-22,15422.66
2024-05-21,15381.46
2024-05-18,15352.08
2024-05-17,15292.46
2024-05-16,15191.55
2024-05-15,15054.74
2024-05-14,15008.0
2024-05-13,14876.0
2024-05-10,14848.01
2024-05-09,14742.84
2024-05-08,15008.41
2024-05-07,14956.28
2024-05-06,15122.65
2024-05-03,15196.04
2024-05-02,15286.01
2024-04-30,15224.08
2024-04-29,15220.08
2024-04-26,15110.15
2024-04-25,15131.3
2024-04-24,15032.54
2024-04-23,14974.42
2024-04-22,14915.17
2024-04-19,14772.32
2024-04-18,14730.5
2024-04-16,14799.17
2024-04-15,14832.83
2024-04-12,15028.22
2024-04-10,15151.58
2024-04-09,15064.18
2024-04-08,15084.43
2024-04-05,15013.6
2024-04-04,14976.0
2024-04-03,14931.99
2024-04-02,14899.01
2024-04-01,14836.52
2024-03-28,14654.18
2024-03-27,14535.5
2024-03-26,14474.63
2024-03-22,14471.04
2024-03-21,14395.72
2024-03-20,14198.99
2024-03-19,14184.91
2024-03-18,14353.64
2024-03-15,14339.67
2024-03-14,14398.74
2024-03-13,14191.15
2024-03-12,14588.77
2024-03-11,14683.8
2024-03-07,14798.58
2024-03-06,14757.97
2024-03-05,14773.03
2024-03-04,14811.53
2024-03-02,14808.97
2024-03-01,14754.37
2024-02-29,14569.88
2024-02-28,14514.69
2024-02-27,14717.51
2024-02-26,14694.81
2024-02-23,14734.85
2024-02-22,14710.5
2024-02-21,14599.12
2024-02-20,14706.28
2024-02-19,14682.89
2024-02-16,14623.59
2024-02-15,14528.18
2024-02-14,14439.83
2024-02-13,14333.7
2024-02-12,14257.29
2024-02-09,14477.84
2024-02-08,14503.45
2024-02-07,14584.24
2024-02-06,14528.35
2024-02-05,14393.81
2024-02-02,14435.5
2024-02-01,14340.31
2024-01-31,14359.59
2024-01-30,14190.9
2024-01-29,14285.32
2024-01-25,14056.79
2024-01-24,14090.58
2024-01-23,13910.71
2024-01-20,14202.38
2024-01-19,14201.22
2024-01-18,14059.04
2024-01-17,14108.09
2024-01-16,14350.56
2024-01-15,14393.2
2024-01-12,14294.91
2024-01-11,14181.62
2024-01-10,14130.25
2024-01-09,14087.15
2024-01-08,14056.83
2024-01-05,14178.83
2024-01-04,14142.35
2024-01-03,14014.28
2024-01-02,14046.73
2024-01-01,14080.89
2023-12-29,14046.75
2023-12-28,14022.21
2023-12-27,13952.53
2023-12-26,13848.84
2023-12-22,13779.35
2023-12-21,13696.66
2023-12-20,13573.5
2023-12-19,13865.88
2023-12-18,13854.52
2023-12-15,13844.83
2023-12-14,13724.19
2023-12-13,13567.35
2023-12-12,13515.6
2023-12-11,13575.55
2023-12-08,13523.94
2023-12-07,13525.2
2023-12-06,13508.84
2023-12-05,13444.89
2023-12-04,13347.44
2023-12-01,13109.33
2023-11-30,13020.44
2023-11-29,12956.61
2023-11-28,12842.76
2023-11-24,12773.31
2023-11-23,12769.06
2023-11-22,12759.77
2023-11-21,12761.44
2023-11-20,12722.79
2023-11-17,12738.48
2023-11-16,12730.76
2023-11-15,12668.53
2023-11-13,12530.32
2023-11-12,12557.69
2023-11-10,12479.19
2023-11-09,12450.21
2023-11-08,12478.98
2023-11-07,12427.43
2023-11-06,12404.95
2023-11-03,12288.39
2023-11-02,12206.21
2023-11-01,12090.51
2023-10-31,12137.84
2023-10-30,12154.34
2023-10-27,12110.7
2023-10-26,11954.08
2023-10-25,12096.82
2023-10-23,12184.31
2023-10-20,12429.3
2023-10-19,12502.12
2023-10-18,12524.16
2023-10-17,12610.78
2023-10-16,12554.22
2023-10-13,12549.81
2023-10-12,12569.81
2023-10-11,12557.55
2023-10-10,12480.67
2023-10-09,12352.61
2023-10-06,12477.54
2023-10-05,12406.3
2023-10-04,12351.69
2023-10-03,12447.45
2023-09-29,12473.05
2023-09-28,12384.94
2023-09-27,12505.06
2023-09-26,12456.92
2023-09-25,12452.65
2023-09-22,12442.77
2023-09-21,12471.49
2023-09-20,12576.9
2023-09-18,12693.22
2023-09-15,12731.34
2023-09-14,12685.11
2023-09-13,12626.77
2023-09-12,12575.32
2023-09-11,12731.24
2023-09-08,12612.26
2023-09-07,12539.3
2023-09-06,12466.19
2023-09-05,12444.29
2023-09-04,12392.57
2023-09-01,12313.64
2023-08-31,12206.08
2023-08-30,12234.43
2023-08-29,12201.8
2023-08-28,12161.64
2023-08-25,12120.38
2023-08-24,12197.01
2023-08-23,12209.54
2023-08-22,12174.37
2023-08-21,12132.59
2023-08-18,12060.86
2023-08-17,12091.42
2023-08-16,12125.57
2023-08-14,12103.85
2023-08-11,12127.98
2023-08-10,12179.54
2023-08-09,12223.66
2023-08-08,12176.39
2023-08-07,12180.46
2023-08-04,12132.9
2023-08-03,12047.46
2023-08-02,12102.84
2023-08-01,12238.78
2023-07-31,12241.16
2023-07-28,12158.09
2023-07-27,12136.04
2023-07-26,12172.56
2023-07-25,12116.65
2023-07-24,12092.81
2023-07-21,12118.73
2023-07-20,12213.0
2023-07-19,12148.56
2023-07-18,12088.85
2023-07-17,12089.34
2023-07-14,12011.66
